Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
11,dc_sweep,css_nmos_svt,16.97e-15,,,
11,dc_sweep,gm_nmos_svt,0,,,
11,dc_sweep,gmb_nmos_svt,0,,,
11,dc_sweep,gds_nmos_svt,12.85e-6,,,
11,dc_sweep,id_nmos_svt,24.3e-18,,,
11,dc_sweep,sth_nmos_svt,250.1e-27,,,
11,dc_sweep,sfl_nmos_svt,0,,,
11,dc_sweep,cgg_pmos_svt,102.7e-15,,,
11,dc_sweep,cdd_pmos_svt,55.16e-15,,,
11,dc_sweep,css_pmos_svt,61.72e-15,,,
11,dc_sweep,gm_pmos_svt,0,,,
11,dc_sweep,gmb_pmos_svt,0,,,
11,dc_sweep,gds_pmos_svt,1.543e-6,,,
11,dc_sweep,id_pmos_svt,65.65e-12,,,
11,dc_sweep,sth_pmos_svt,39.3e-27,,,
11,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=300m, length=1u, sb=500m",,,,,,
12,dc_sweep,cgg_nmos_svt,39.44e-15,,,
12,dc_sweep,cdd_nmos_svt,7.888e-15,,,
12,dc_sweep,css_nmos_svt,8.441e-15,,,
12,dc_sweep,gm_nmos_svt,0,,,
12,dc_sweep,gmb_nmos_svt,0,,,
12,dc_sweep,gds_nmos_svt,6.044e-6,,,
12,dc_sweep,id_nmos_svt,16.91e-18,,,
12,dc_sweep,sth_nmos_svt,117.5e-27,,,
12,dc_sweep,sfl_nmos_svt,0,,,
12,dc_sweep,cgg_pmos_svt,77.4e-15,,,
12,dc_sweep,cdd_pmos_svt,30.1e-15,,,
12,dc_sweep,css_pmos_svt,29.12e-15,,,
12,dc_sweep,gm_pmos_svt,0,,,
12,dc_sweep,gmb_pmos_svt,0,,,
12,dc_sweep,gds_pmos_svt,668.3e-9,,,
12,dc_sweep,id_pmos_svt,67.77e-12,,,
12,dc_sweep,sth_pmos_svt,16.94e-27,,,
12,dc_sweep,sfl_pmos_svt,0,,,
"Parameters: ds=0, gs=300m, length=1.5u, sb=0",,,,,,
13,dc_sweep,cgg_nmos_svt,115.8e-15,,,
13,dc_sweep,cdd_nmos_svt,81.45e-15,,,
13,dc_sweep,css_nmos_svt,72.81e-15,,,
13,dc_sweep,gm_nmos_svt,0,,,
13,dc_sweep,gmb_nmos_svt,0,,,
